bioentities,publications
1000028,1000004
1000082,1000004
1000028,1000005
1000082,1000005
1000091,1000005
1000092,1000005
1000093,1000005
1000139,1000005
1000140,1000005
1000164,1000005
1000184,1000005
1000230,1000005
1000231,1000005
1000298,1000005
1000300,1000005
1000314,1000005
1000369,1000005
1000399,1000005
1000421,1000005
1000566,1000005
1000567,1000005
1000646,1000005
1000652,1000005
1000704,1000005
1000709,1000005
1000710,1000005
1000726,1000005
1000767,1000005
1000776,1000005
1000777,1000005
1000812,1000005
1000822,1000005
1000830,1000005
1000832,1000005
1000952,1000005
1000957,1000005
1000958,1000005
1000978,1000005
1000979,1000005
1001004,1000005
1001005,1000005
1001018,1000005
1001019,1000005
1001031,1000005
1001032,1000005
1001036,1000005
1001041,1000005
1001045,1000005
1001129,1000005
1001133,1000005
1001137,1000005
1001138,1000005
1001153,1000005
1001157,1000005
1001161,1000005
1001260,1000005
1001270,1000005
1001271,1000005
1001275,1000005
1001280,1000005
1001285,1000005
1001289,1000005
1001371,1000005
1001376,1000005
1001377,1000005
1001381,1000005
1001386,1000005
1001390,1000005
1001394,1000005
1001490,1000005
1001497,1000005
1001507,1000005
1001511,1000005
1001516,1000005
1001520,1000005
1001525,1000005
1001615,1000005
1001624,1000005
1001639,1000005
1001643,1000005
1001647,1000005
1001651,1000005
1001655,1000005
1001659,1000005
1001765,1000005
1001770,1000005
1001771,1000005
1001776,1000005
1001781,1000005
1001786,1000005
1001895,1000005
1001904,1000005
1001911,1000005
1001921,1000005
1001925,1000005
1001929,1000005
1001935,1000005
1002076,1000005
1002082,1000005
1002086,1000005
1002091,1000005
1002095,1000005
1002155,1000005
1002162,1000005
1002170,1000005
1002171,1000005
1002199,1000005
1002203,1000005
1002208,1000005
1002212,1000005
1002310,1000005
1002311,1000005
1002315,1000005
1002320,1000005
1002324,1000005
1002329,1000005
1002445,1000005
1002450,1000005
1002451,1000005
1002476,1000005
1002480,1000005
1002484,1000005
1002488,1000005
1002571,1000005
1002575,1000005
1002576,1000005
1002581,1000005
1002586,1000005
1002590,1000005
1002594,1000005
1002713,1000005
1002714,1000005
1002718,1000005
1002722,1000005
1002726,1000005
1002730,1000005
1002734,1000005
1002816,1000005
1002821,1000005
1002822,1000005
1002827,1000005
1002832,1000005
1002837,1000005
1002908,1000005
1002918,1000005
1002923,1000005
1002924,1000005
1002928,1000005
1002933,1000005
1002937,1000005
1003056,1000005
1003061,1000005
1003070,1000005
1003077,1000005
1003078,1000005
1003082,1000005
1003086,1000005
1003090,1000005
1003095,1000005
1003181,1000005
1003182,1000005
1003186,1000005
1003187,1000005
1003191,1000005
1003196,1000005
1003200,1000005
1003205,1000005
1003322,1000005
1003329,1000005
1003332,1000005
1003348,1000005
1003352,1000005
1003357,1000005
1003361,1000005
1003458,1000005
1003463,1000005
1003464,1000005
1003468,1000005
1003473,1000005
1003478,1000005
1003482,1000005
1003613,1000005
1003621,1000005
1003626,1000005
1003630,1000005
1003634,1000005
1003638,1000005
1003642,1000005
1003646,1000005
1003725,1000005
1003729,1000005
1003739,1000005
1003743,1000005
1003747,1000005
1003748,1000005
1003752,1000005
1003757,1000005
1003761,1000005
1003765,1000005
1003853,1000005
1003857,1000005
1003866,1000005
1003867,1000005
1003871,1000005
1003875,1000005
1003879,1000005
1003883,1000005
1003964,1000005
1003976,1000005
1003979,1000005
1003985,1000005
1003986,1000005
1003991,1000005
1003995,1000005
1003999,1000005
1004003,1000005
1004087,1000005
1004088,1000005
1004092,1000005
1004097,1000005
1004101,1000005
1004205,1000005
1004209,1000005
1004216,1000005
1004220,1000005
1004224,1000005
1004231,1000005
1004235,1000005
1004239,1000005
1004319,1000005
1004323,1000005
1004332,1000005
1004333,1000005
1004337,1000005
1004338,1000005
1004342,1000005
1004346,1000005
1004350,1000005
1004354,1000005
1004439,1000005
1004444,1000005
1004445,1000005
1004449,1000005
1004453,1000005
1004457,1000005
1004461,1000005
1004550,1000005
1004554,1000005
1004561,1000005
1004564,1000005
1004569,1000005
1004574,1000005
1004578,1000005
1004582,1000005
1004677,1000005
1004684,1000005
1004688,1000005
1004692,1000005
1004697,1000005
1004701,1000005
1004705,1000005
1004812,1000005
1004820,1000005
1004829,1000005
1004833,1000005
1004838,1000005
1004842,1000005
1004930,1000005
1004939,1000005
1004944,1000005
1004945,1000005
1004949,1000005
1004953,1000005
1004957,1000005
1005058,1000005
1005081,1000005
1005084,1000005
1005102,1000005
1005106,1000005
1005110,1000005
1005115,1000005
1005195,1000005
1005205,1000005
1005210,1000005
1005216,1000005
1005220,1000005
1005225,1000005
1005229,1000005
1005308,1000005
1005312,1000005
1005313,1000005
1005318,1000005
1005322,1000005
1005326,1000005
1005330,1000005
1005445,1000005
1005456,1000005
1005457,1000005
1005461,1000005
1005467,1000005
1005471,1000005
1005475,1000005
1005597,1000005
1005601,1000005
1005602,1000005
1005606,1000005
1005611,1000005
1005615,1000005
1005619,1000005
1005755,1000005
1005756,1000005
1005765,1000005
1005771,1000005
1005775,1000005
1005779,1000005
1005890,1000005
1005899,1000005
1005904,1000005
1005905,1000005
1005913,1000005
1005917,1000005
1005921,1000005
1006011,1000005
1006016,1000005
1006024,1000005
1006030,1000005
1006034,1000005
1006039,1000005
1006043,1000005
1006160,1000005
1006161,1000005
1006165,1000005
1006169,1000005
1006260,1000005
1006265,1000005
1006266,1000005
1006271,1000005
1006275,1000005
1006280,1000005
1006285,1000005
1006289,1000005
1006373,1000005
1006376,1000005
1006380,1000005
1006385,1000005
1006389,1000005
1006393,1000005
1006492,1000005
1006499,1000005
1006505,1000005
1006519,1000005
1006523,1000005
1006527,1000005
1006609,1000005
1006613,1000005
1006614,1000005
1006618,1000005
1006623,1000005
1006627,1000005
1006631,1000005
1006742,1000005
1006760,1000005
1006763,1000005
1006767,1000005
1006771,1000005
1006776,1000005
1006780,1000005
1006784,1000005
1006900,1000005
1006905,1000005
1006913,1000005
1006918,1000005
1006919,1000005
1006923,1000005
1006927,1000005
1007007,1000005
1007015,1000005
1007022,1000005
1007040,1000005
1007045,1000005
1007049,1000005
1007162,1000005
1007172,1000005
1007177,1000005
1007178,1000005
1007183,1000005
1007202,1000005
1007207,1000005
1007211,1000005
1007306,1000005
1007307,1000005
1007311,1000005
1007312,1000005
1007316,1000005
1007321,1000005
1007325,1000005
1007330,1000005
1007434,1000005
1007442,1000005
1007445,1000005
1007449,1000005
1007453,1000005
1007458,1000005
1007462,1000005
1007564,1000005
1007569,1000005
1007579,1000005
1007587,1000005
1007588,1000005
1007592,1000005
1007597,1000005
1007601,1000005
1007605,1000005
1007728,1000005
1007738,1000005
1007745,1000005
1007751,1000005
1007752,1000005
1007762,1000005
1007766,1000005
1007770,1000005
1007774,1000005
1007871,1000005
1007879,1000005
1007886,1000005
1007890,1000005
1007891,1000005
1007895,1000005
1007900,1000005
1007904,1000005
1007908,1000005
1007988,1000005
1007997,1000005
1007998,1000005
1008002,1000005
1008006,1000005
1008010,1000005
1008014,1000005
1008095,1000005
1008104,1000005
1008105,1000005
1008109,1000005
1008110,1000005
1008115,1000005
1008119,1000005
1008123,1000005
1008128,1000005
1008252,1000005
1008253,1000005
1008258,1000005
1008263,1000005
1008268,1000005
1008374,1000005
1008379,1000005
1008380,1000005
1008385,1000005
1008389,1000005
1008393,1000005
1008397,1000005
1008401,1000005
1008494,1000005
1008501,1000005
1008505,1000005
1008509,1000005
1008513,1000005
1008517,1000005
1008596,1000005
1008601,1000005
1008602,1000005
1008606,1000005
1008610,1000005
1008614,1000005
1008618,1000005
1008698,1000005
1008705,1000005
1008710,1000005
1008719,1000005
1008724,1000005
1008728,1000005
1008732,1000005
1008844,1000005
1008859,1000005
1008864,1000005
1008868,1000005
1008872,1000005
1008876,1000005
1008880,1000005
1008884,1000005
1008969,1000005
1008980,1000005
1008988,1000005
1008995,1000005
1008999,1000005
1009004,1000005
1009008,1000005
1009088,1000005
1009093,1000005
1009094,1000005
1009115,1000005
1009122,1000005
1009126,1000005
1009259,1000005
1009268,1000005
1009273,1000005
1009274,1000005
1009282,1000005
1009286,1000005
1009291,1000005
1009295,1000005
1009388,1000005
1009389,1000005
1009395,1000005
1009396,1000005
1009402,1000005
1009407,1000005
1009411,1000005
1009415,1000005
1009522,1000005
1009527,1000005
1009528,1000005
1009534,1000005
1009539,1000005
1009548,1000005
1009553,1000005
1009558,1000005
1009562,1000005
1009671,1000005
